State,FIPS,Q2_r5_p,Q2_r5_p_se,Q2_r5_estab,Q2_r5_estab_se,Q2_r5_pemp,Q2_r5_pemp_se,Q2_r5_emp,Q2_r5_emp_se,Q2_r6_p,Q2_r6_p_se,Q2_r6_estab,Q2_r6_estab_se,Q2_r6_pemp,Q2_r6_pemp_se,Q2_r6_emp,Q2_r6_emp_se,Q2_r7_p,Q2_r7_p_se,Q2_r7_estab,Q2_r7_estab_se,Q2_r7_pemp,Q2_r7_pemp_se,Q2_r7_emp,Q2_r7_emp_se,Q2_r8_p,Q2_r8_p_se,Q2_r8_estab,Q2_r8_estab_se,Q2_r8_pemp,Q2_r8_pemp_se,Q2_r8_emp,Q2_r8_emp_se,Q2_r9_p,Q2_r9_p_se,Q2_r9_estab,Q2_r9_estab_se,Q2_r9_pemp,Q2_r9_pemp_se,Q2_r9_emp,Q2_r9_emp_se,Q2_r10_p,Q2_r10_p_se,Q2_r10_estab,Q2_r10_estab_se,Q2_r10_pemp,Q2_r10_pemp_se,Q2_r10_emp,Q2_r10_emp_se,Q2_r12_p,Q2_r12_p_se,Q2_r12_estab,Q2_r12_estab_se,Q2_r12_pemp,Q2_r12_pemp_se,Q2_r12_emp,Q2_r12_emp_se
Maryland,24,7.02,0.6,10820.0,931.0,12.03,1.78,264957.0,39302.0,52.52,1.21,80984.0,1860.0,60.96,1.74,1342953.0,38261.0,5.38,0.5,8297.0,777.0,11.27,1.81,248303.0,39840.0,28.36,1.03,43726.0,1581.0,35.24,1.96,776314.0,43117.0,6.09,0.52,9395.0,802.0,11.24,1.7,247581.0,37357.0,9.97,0.72,15379.0,1103.0,14.66,1.79,322973.0,39366.0,40.6,1.18,62599.0,1817.0,30.0,1.93,660918.0,42414.0
Massachusetts,25,5.98,0.7,11911.0,1386.0,10.65,2.38,336126.0,75040.0,55.33,1.32,110200.0,2625.0,65.9,2.51,2080616.0,79381.0,5.33,0.51,10620.0,1021.0,13.02,2.33,411083.0,73500.0,27.9,1.14,55565.0,2263.0,38.54,2.62,1216751.0,82745.0,6.7,0.57,13347.0,1128.0,11.09,2.2,350276.0,69452.0,9.67,0.76,19258.0,1523.0,14.1,2.32,445066.0,73186.0,36.1,1.32,71903.0,2635.0,23.46,2.28,740591.0,72130.0
Michigan,26,6.9,0.69,15101.0,1513.0,14.21,1.66,535756.0,62553.0,63.32,1.23,138534.0,2697.0,72.42,1.86,2730744.0,70158.0,6.5,0.68,14216.0,1495.0,13.94,1.74,525439.0,65763.0,34.3,1.17,75044.0,2566.0,44.4,2.3,1673928.0,86706.0,8.4,0.71,18373.0,1543.0,13.91,1.54,524430.0,58050.0,10.44,0.87,22851.0,1909.0,17.79,2.24,670639.0,84495.0,27.87,1.19,60978.0,2597.0,16.07,1.66,606056.0,62515.0
Minnesota,27,8.25,0.59,12042.0,857.0,16.4,2.01,412040.0,50536.0,49.52,1.11,72243.0,1618.0,62.94,1.75,1581674.0,44027.0,7.05,0.53,10280.0,774.0,16.82,2.11,422821.0,53060.0,27.52,0.96,40145.0,1397.0,38.71,1.88,972716.0,47260.0,7.31,0.52,10664.0,754.0,13.82,1.93,347380.0,48588.0,8.81,0.67,12852.0,978.0,16.88,1.97,424150.0,49407.0,39.01,1.09,56907.0,1594.0,23.46,1.48,589633.0,37229.0
Mississippi,28,5.46,0.56,3453.0,352.0,9.99,1.71,90124.0,15429.0,47.1,1.18,29787.0,747.0,58.05,2.15,523952.0,19406.0,4.31,0.49,2727.0,309.0,10.14,1.67,91537.0,15028.0,26.3,0.98,16629.0,621.0,35.25,2.32,318109.0,20909.0,5.69,0.58,3599.0,365.0,9.34,1.55,84277.0,14016.0,6.82,0.62,4312.0,392.0,12.59,2.18,113663.0,19691.0,47.41,1.15,29983.0,729.0,31.65,1.92,285660.0,17296.0
Missouri,29,7.29,0.59,11451.0,919.0,13.84,1.58,329104.0,37628.0,46.97,1.21,73766.0,1904.0,58.68,1.94,1395408.0,46104.0,5.74,0.57,9015.0,902.0,12.95,1.65,307906.0,39196.0,26.94,1.01,42305.0,1586.0,32.61,1.85,775579.0,43933.0,6.15,0.51,9665.0,806.0,9.81,1.32,233249.0,31331.0,8.37,0.73,13140.0,1146.0,13.5,1.66,321129.0,39501.0,44.16,1.22,69349.0,1909.0,33.78,2.01,803200.0,47891.0
Montana,30,5.37,0.41,2434.0,188.0,12.35,0.87,47891.0,3371.0,45.98,1.04,20837.0,471.0,58.58,1.21,227119.0,4675.0,4.78,0.44,2168.0,199.0,11.03,1.8,42745.0,6975.0,26.18,0.87,11865.0,394.0,33.82,1.92,131124.0,7438.0,6.32,0.46,2865.0,207.0,14.39,1.87,55769.0,7253.0,7.6,0.59,3446.0,268.0,8.73,1.74,33847.0,6755.0,46.55,1.02,21097.0,461.0,33.58,1.87,130196.0,7268.0
Nebraska,31,5.74,0.46,3542.0,281.0,14.1,1.22,115380.0,9970.0,42.89,1.01,26461.0,623.0,55.4,2.11,453279.0,17282.0,4.91,0.42,3027.0,258.0,10.48,1.27,85754.0,10384.0,25.02,0.85,15435.0,522.0,32.67,1.49,267287.0,12210.0,5.08,0.41,3134.0,256.0,12.31,1.34,100703.0,10942.0,6.23,0.53,3843.0,329.0,9.62,1.7,78710.0,13885.0,50.5,1.02,31156.0,628.0,35.93,1.99,293995.0,16316.0
Nevada,32,6.06,0.52,4686.0,403.0,9.91,1.36,123488.0,17014.0,52.29,1.19,40402.0,918.0,70.58,1.5,879917.0,18745.0,4.44,0.47,3430.0,362.0,7.81,1.61,97359.0,20030.0,32.07,1.06,24776.0,816.0,47.35,2.16,590260.0,26920.0,3.83,0.38,2960.0,297.0,6.15,1.44,76712.0,17962.0,11.06,0.76,8548.0,589.0,18.44,2.5,229924.0,31154.0,38.56,1.16,29794.0,895.0,21.15,1.37,263671.0,17104.0
New Hampshire,33,6.85,0.53,3311.0,256.0,16.18,2.36,94150.0,13717.0,49.06,1.21,23708.0,586.0,62.37,2.16,362834.0,12574.0,5.47,0.49,2644.0,237.0,13.54,2.32,78799.0,13515.0,26.13,1.01,12627.0,490.0,35.78,2.07,208126.0,12069.0,6.67,0.48,3221.0,231.0,10.47,1.46,60930.0,8501.0,8.97,0.73,4335.0,351.0,9.95,1.51,57903.0,8785.0,39.84,1.18,19251.0,571.0,26.22,2.02,152520.0,11749.0
